0.0	0.0
0.02	0.00
0.04	0.001
0.06	0.001
0.08	0.001
0.10	0.002
0.12	0.003
0.14	0.004
0.16	0.006
0.18	0.008
0.20	0.010
0.22	0.014
0.24	0.019
0.26	0.026
0.28	0.035
0.30	0.047
0.32	0.062
0.34	0.083
0.36	0.109
0.38	0.141
0.40	0.182
0.42	0.231
0.44	0.289
0.46	0.354
0.48	0.425
0.50	0.50
0.52	0.574
0.54	0.645
0.56	0.710
0.58	0.768
0.60	0.817
0.62	0.858
0.64	0.890
0.66	0.916
0.68	0.937
0.70	0.952
0.72	0.964
0.74	0.973
0.76	0.980
0.78	0.985
0.80	0.989
0.82	0.991
0.84	0.993
0.86	0.995
0.88	0.996
0.90	0.997
0.92	0.998
0.94	0.998
0.96	0.998
0.98	0.999
1	0.999
