0.0     0.0
0.020	0.1534
0.040	0.50
0.060	0.7027
0.080	0.8465
0.10	0.9581
0.12	1.0493
0.14	1.1263
0.16	1.1931
0.18	1.2520
0.20	1.3047
0.22	1.3523
0.24	1.3958
0.26	1.4359
0.28	1.4729
0.30	1.5074
0.32	1.5397
0.34	1.5700
0.36	1.5986
0.38	1.6256
0.40	1.6512
0.42	1.6756
0.44	1.6989
0.46	1.7211
0.48	1.7424
0.50	1.7628
0.52	1.7824
0.54	1.8013
0.56	1.8195
0.58	1.8370
0.60	1.8540
0.62	1.8704
0.64	1.8862
0.66	1.9016
0.68	1.9166
0.70	1.9311
0.72	1.9451
0.74	1.9588
0.76	1.9722
0.78	1.9852
0.80	1.9978
0.82	2.0102
0.84	2.0222
0.86	2.0340
0.88	2.0455
0.90	2.0567
0.92	2.0677
0.94	2.0785
0.96	2.0890
0.98	2.0993
1	2.1094
